Song_Name,AVG_Energy,SD_Energy,ZCR_mean,ZCR_sd,Centroid,BW,RollOff,BER_subbass,BER_bass,BER_low_mid,BER_mid,BER_high_mid,BER_treble,Tempo_bpm,TempoLog,Fuerza_Pulso,onset_rate,high_onset_mean,offbeat_ratio,Genero,MFCC_1_mean,MFCC_2_mean,MFCC_3_mean,MFCC_4_mean,MFCC_5_mean,MFCC_6_mean,MFCC_7_mean,MFCC_8_mean,MFCC_9_mean,MFCC_10_mean,MFCC_11_mean,MFCC_12_mean,MFCC_13_mean,MFCC_1_sd,MFCC_2_sd,MFCC_3_sd,MFCC_4_sd,MFCC_5_sd,MFCC_6_sd,MFCC_7_sd,MFCC_8_sd,MFCC_9_sd,MFCC_10_sd,MFCC_11_sd,MFCC_12_sd,MFCC_13_sd
"01-The Magic Flute – Queen of the Night aria (Mozart_ Diana Damrau, The Royal Opera).wav",0.015974055445510994,0.034819637952632376,0.044027345630996036,0.01462452135832272,1.5804144641502271,1.960628986017367,1265.625,0.05580993262717848,0.14321343833569283,0.3964047607339636,0.0701934938398282,0.023550340260888425,5.086473954423337e-4,137.2,7.1001,1.0211,7.2889,0.0561,0.6818,Opera,-49.055195412133266,13.320559495457967,-13.365580459083212,-1.2394166107529139,-6.763120984469885,-0.23676138438054206,-13.019653497313456,3.2986836859932334,-4.597001240507068,-1.5969621853839815,-2.3267956067492555,7.3738105100223255,-2.6480453388590908,9.812440342330097,3.7885534768406672,4.17517033858034,5.039090720587421,5.7462224426374595,7.0908684462767795,6.453723645125198,6.419237645941754,6.423566814879115,8.11734531225982,8.62179500442322,9.032876878996888,8.614201476485356
02-IL DIVO - Adagio (Live Video) - copia.wav,0.02025638616344319,0.03743028655368044,0.028757593436307738,0.036265103449024394,1.7337212771804609,2.767671400707079,468.75,0.6029693392892358,0.13669837268779528,0.03930868293304718,0.016166693628147703,0.012798237252103661,0.010260252887483782,125,6.9658,0.8518,2.1333,0.0378,0.4649,Opera,-48.06058806660714,15.73275813917646,-8.104907988180395,14.689624199637981,-13.232306281816818,16.941672289031146,-12.999993677035615,8.680486408588674,-0.970708243837641,-1.8327748380201374,-3.8205949035277276,-6.609318943439297,7.109792491833489,9.19533403680863,4.526851287546455,5.3347416956759215,5.209137109687516,4.2104232052644175,5.35750556318391,5.907026296756868,5.240929627894792,5.400646352320258,5.3168872358373545,7.210158883366134,5.965506899169562,6.418562486181794
03-The 3 Tenors O Sole Mio 1994.wav,0.025304472654641724,0.05019454735028429,0.0417262797718265,0.013673151386026244,1.4833837572625765,1.8020315515174838,1359.375,0.07711713274710487,0.19693010543507988,0.20052752098728707,0.09507211113579982,0.03216310647064699,1.8728656100993016e-4,125,6.9658,0.9729,8.8333,0.1621,0.6556,Opera,-42.22823336890148,14.423177156625796,-10.356403463548324,-2.957320815747976,-3.7492251825725926,4.542609671939789,-12.270412536763274,-0.47384543298892784,1.2518922149719316,0.5303802723149319,-11.620798040508024,0.7001966759238657,-0.2959161359981744,6.014243660839825,2.685880395527469,5.09869181924557,5.362152395878013,4.452659106424861,5.151539933369995,6.110399179711205,4.848436837071738,5.9693263579652465,4.740904055335494,6.018049870458277,5.099534834534404,5.663474942126567
04-Rossini： William Tell Overture： Final.wav,0.011709126039254452,0.03348012891125049,0.02859912675482461,0.01326521589395101,1.5656041972782273,2.3772295584317416,656.25,0.28713826097569456,0.21795935991504978,0.06886543229564296,0.032328836276291836,0.015429597985100203,0.002307571456610535,156.25,7.2877,0.9025,4.8667,0.0243,0.6033,Opera,-56.50048981612477,17.200599361114804,-10.549808274729056,5.913405447819911,-2.2031641599692033,3.6605055765059014,-4.936729563326498,3.888546446836817,-5.8960561303294785,1.1700926484252028,-5.634207210357565,0.511888542919923,-2.574604224041198,18.512168527859817,5.042759669759097,4.890073943940652,4.913633956133296,6.630680692010783,5.305646741688038,4.992087880661867,4.758094859909163,4.266181586330356,5.2560582850437,4.419176528958769,4.422708025275705,4.346687832772467
"05-Maria Callas sings ＂Casta Diva＂ (Bellini： Norma, Act 1).wav",0.012886454089468022,0.039962074149524705,0.03324999073971182,0.012690481721570598,1.3195170703048518,2.1234209206176216,890.625,0.06044701415159564,0.5331784746204439,0.1525779024227944,0.010984907306316937,0.004785427169393617,1.6679947282852227e-4,125,6.9658,0.8183,9.7667,0.0089,0.6545,Opera,-53.1311368918768,11.762808094638935,-6.072796107554038,1.7200217683508585,-1.8422790700825158,1.579248006118421,-8.397113297251522,2.175227648730769,-5.274778292601651,5.8410566965329735,-6.623378341228663,1.963503907578087,-4.916343484709911,6.224227055218847,3.016376935959317,4.252033756659913,3.8129922833380374,5.180078793450906,4.187523710835506,5.2470917088864795,5.88262751394091,5.632946966248219,6.600770170844542,7.588168882580742,7.820950183951973,7.042512512962472
06-The man with his crazy voice~~~.wav,0.020335934085559337,0.05658189471405782,0.05459854335666926,0.05392896871185595,2.248483347776723,2.9614775306134034,796.875,0.18120011584326207,0.02997137364677745,0.057922214517815165,0.13557506473550932,0.018193518880952938,0.009360436957939592,100.45,6.6503,1.0432,3.1222,0.0744,0.4916,Opera,-52.13237044566431,11.193652381814138,-15.785644489123289,15.748587546615681,-12.777918696004456,14.07203311278533,-11.23986537293615,7.5862933050819645,-3.2864700235776496,0.04807678029520033,0.6216166585049248,-2.031491796151502,4.336963802884229,15.805736438944985,5.2098096238028155,6.71755841919146,4.368151908177365,5.687319434002837,6.0734868617730795,5.790199546160727,5.026942717494288,6.663858186570274,6.795288549321716,7.137076462082253,8.861205209368993,6.996736828754446
"07-La Traviata： “Libiamo, ne’ lieti calici”.wav",0.006867062696956857,0.019796827870824613,0.04598612808830611,0.022602844005388367,1.7079640068023616,2.0005660238956353,1218.75,0.07910268047085688,0.30802282750486365,0.15430131354145732,0.04023947109562642,0.08463244182375797,8.218598915175872e-4,125,6.9658,1.0131,7.2889,0.0644,0.5634,Opera,-55.02987094797082,13.007369785793296,-11.656312685452145,3.524669530119325,-2.9247562534845546,3.0799045193896597,-15.920973628527058,-0.7983274433035963,1.4101555374492893,-3.267105587235298,-12.15394641770075,2.0587235557057175,-1.9363468900839311,10.315358623565334,3.8969513490578196,4.829663884259166,3.767405681876453,5.047951462619354,6.07156535246098,6.600243003024756,6.356007903790063,7.662280728283054,6.9280434307874454,7.474837388081013,6.284108955116056,7.880684310547785
08-Stars - Philip Quast - Les Misérables - 10th Anniversary Concert.wav,0.007866826039389497,0.020195088617177892,0.046288360743786346,0.030934124299068902,1.8574635997030768,2.343993999408269,1359.375,0.1463343440920936,0.23748852768663162,0.16504117345635905,0.0920723313275078,0.06568929266442837,0.0059325033351323815,125,6.9658,0.9738,2.7333,0.0935,0.4674,Opera,-48.044347563261844,12.802222442009281,-10.250414231512616,4.855135917484477,-2.350699445706973,6.086610467443898,-10.656473860266983,0.3599057427871006,-2.343051116793854,3.587888085923371,-8.243426391665343,2.143505356483201,-3.1966705158905273,9.13326574132251,4.9374634057816,4.681348671904774,6.27726827238381,6.071388105241595,6.44779028076216,6.738263591835818,4.9125576526357335,6.019262548988933,4.95315086973408,5.316321183885735,5.179470344755427,5.406218894766875
"09-(HD 1080p) Intermezzo from Cavalleria Rusticana,  Pietro Mascagni.wav",0.010031968888206167,0.024579004373188607,0.039357729562543985,0.014931071549588223,1.400360817437954,1.7001024780308354,1031.25,0.2759392270492427,0.1948125786639204,0.14611394780803458,0.05659573827433032,0.023633159584165377,9.418447126992779e-4,122.28,6.9341,0.8223,6.3556,0.0364,0.7659,Opera,-50.37871146927219,17.05508972731684,-16.370608748525253,8.18636641025112,-6.353714116683045,3.872217209028496,-9.013771005880747,3.418320340358684,-7.236531025012763,2.1491128365426264,-5.532179419848052,-0.10191190428610407,-5.14562435493079,10.243908404140432,2.5785899425700403,4.910472205823944,4.232642327463724,3.9706696921331845,3.9904284966977874,4.481919879119182,4.061790080469246,3.919681133377355,4.898124435731703,4.75595905288348,4.850546808905014,5.944258445089528
10-Nashaat Salman - Your Eyes Are My Homeland.wav,0.03102639505432362,0.06034526489737947,0.023638390376708524,0.008929648471008918,0.9621055188671124,1.601151780742047,703.125,0.22381892241670875,0.1896029267381817,0.14197142749292485,0.025354193244978545,0.002359101979732274,3.817382097568985e-4,119.68,6.903,0.7198,3.3778,0.017,0.4562,Opera,-52.94857531006776,22.952149107565074,-7.003785986516467,3.5518186479326412,-3.6862529683314067,3.646286753820499,-7.2858573609558,1.796829474287569,-4.473070365760276,4.558311195394064,-0.18397298417877112,4.24182126449842,-3.945363763010045,14.426694067853925,6.261007413402336,5.104095599512644,4.364882113776704,5.837107099973841,5.467456288581931,4.077004763536751,5.092195829215617,5.7696396587170264,5.644675305982641,6.682746926508538,6.009143469284226,6.615980981484978
