Song_Name,AVG_Energy,SD_Energy,ZCR_mean,ZCR_sd,Centroid,BW,RollOff,BER_subbass,BER_bass,BER_low_mid,BER_mid,BER_high_mid,BER_treble,Tempo_bpm,TempoLog,Fuerza_Pulso,onset_rate,high_onset_mean,offbeat_ratio,Genero,MFCC_1_mean,MFCC_2_mean,MFCC_3_mean,MFCC_4_mean,MFCC_5_mean,MFCC_6_mean,MFCC_7_mean,MFCC_8_mean,MFCC_9_mean,MFCC_10_mean,MFCC_11_mean,MFCC_12_mean,MFCC_13_mean,MFCC_1_sd,MFCC_2_sd,MFCC_3_sd,MFCC_4_sd,MFCC_5_sd,MFCC_6_sd,MFCC_7_sd,MFCC_8_sd,MFCC_9_sd,MFCC_10_sd,MFCC_11_sd,MFCC_12_sd,MFCC_13_sd
Al Safir - 300CV.wav,0.07938573468216394,0.1401486477572406,0.04290661925399118,0.04390383801943631,2.158805810315151,2.9308252822466363,468.75,0.10881111721884199,0.06078222445100616,0.03134649197595967,0.013102533317324411,0.01251607639261759,0.013995170804341907,133.93,7.0653,1.29,5.2778,0.1642,0.2264,Rap,-38.75840490772871,15.176325238305097,-15.903521622795909,20.466860279597626,-18.032764397621882,11.58092722412347,-5.6867674534965795,0.5753620374419737,3.644456333169919,-8.657717870479527,9.558032032199279,-9.151886629691239,5.18291939114889,7.85411098106168,5.584382359750225,5.799175619142085,5.994674503487433,6.418223570576242,6.061966132349497,5.100793256627014,5.070071843608135,5.37354132954442,5.542358392740091,5.061225123571908,5.906847910902262,5.624914230819607
Al Safir - DIRHAMS (Prod. Richie Rasheed).wav,0.09786275960007002,0.16354962031634562,0.02832374893506686,0.036909932039434185,1.9920985290600384,3.333732451741164,234.375,0.10872266957926852,0.05400396435675874,0.01680986765318677,0.009014000200085182,0.003986844118598889,0.005306514873364555,98.68,6.6247,1.4328,6.3,0.0812,0.5161,Rap,-37.22208893012328,9.272571172367217,-4.187300839088063,8.954812014284792,-8.732752020356065,12.300640671081768,-7.42791698912225,7.012352967709166,-8.373917546634274,6.1947677234735385,-2.5691553244853207,2.9237205538279327,-4.50347164418038,9.259021786345508,6.462528447254692,5.426306680501169,5.534756665209629,5.867533775003077,5.60514380381786,5.107871079235881,5.509318958948112,6.4444864192147895,5.781671248765476,5.775963169004337,5.99734385902907,5.592055569716472
AmbkorTv - AMBKOR - ＂SI LA VIDA NOS CAMBIA＂ [VIDEOCLIP OFICIAL] #ELRIODELAVIDA.wav,0.08323972475161218,0.1598463363195681,0.04765066488869134,0.05306041205592301,3.360668650096066,4.591062318052675,234.375,0.17312263301995004,0.045623505160284364,0.006768866406662039,0.005429236145470738,0.006289695423265569,0.01850406219529781,117.19,6.8727,1.4667,5.1111,0.0987,0.1981,Rap,-35.45961832072154,2.9954920783598005,2.5542874569282588,9.87431673159046,-5.357029948197403,9.42869309817283,-6.939382982017164,7.107527865485678,-5.238660922516732,5.077204389185054,-4.422380711397142,2.278931261236084,-2.055865850968492,11.294718053145717,6.40400378295096,4.8182403632410775,5.439296148631424,5.048542981052133,5.391480621732359,4.906364973091973,4.535693449418303,5.737354276682656,5.201491477750251,5.29814551095057,5.886322692837441,5.310394823592145
ARCE - BARZELÓ.wav,0.07844433488099108,0.17333090382968885,0.05357562877356743,0.05966158880452219,3.8033725812207972,5.185681914256196,468.75,0.14973111467401054,0.06194400315311293,0.0293123358962703,0.010854283316870024,0.006992912140986267,0.014829696060999844,92.21,6.5269,1.3992,5.2667,0.0948,0.5101,Rap,-31.86842666162487,3.296131268562529,1.4187224029905863,3.0799692037743966,-3.2267314589936187,5.5670748738878295,-9.123079216511975,5.505176500521018,-5.028694717598038,3.412310941411345,-6.0472170960118286,2.462805008697924,-5.715718517235477,9.334817767964726,5.404283836544201,5.250086483188891,4.320789954306309,5.723954640004035,6.2532172644095505,5.458930111099465,5.049097889724569,5.019332573899787,4.8099074361764185,5.42885194280168,5.233083761042081,5.452072447527223
ARCE - Cenizienta ft OMAR MONTES.wav,0.0572102132320994,0.09324449088694478,0.0488105159832574,0.05033217114217135,3.4377585434710016,4.461072361695379,375,0.09463245378413354,0.046257125182989536,0.036314603871864186,0.01377757300622441,0.010443228686300847,0.01909690870488149,100.45,6.6503,1.4698,5.6556,0.0984,0.51,Rap,-31.431084883515457,2.5783968890261555,-2.811217169435929,7.959526548730486,-8.038416679017871,6.954341314629184,-6.375786354054849,6.362378348605562,-6.29816962482022,4.458131745587579,-3.048011632808428,6.310985964646956,-4.7599224111398115,9.236015720766328,5.623122720285283,4.774688067087942,4.847754277268228,6.11048595197788,5.475664467345853,5.328993126942778,5.541630716461904,5.657057364902708,6.538390822212897,5.984797840741484,5.932072083445664,6.474029562787215
ARCE - TKM II.wav,0.09125455722909027,0.14995610326341105,0.040265237804200465,0.04019888871664238,2.7767558351118917,3.8497236705757496,328.125,0.2202028591558334,0.06376873155725754,0.029794274666736887,0.01309862947059324,0.010761920685503145,0.01176286038300893,89.29,6.4804,1.3084,4.5778,0.1329,0.7515,Rap,-33.18008836778439,6.720738627881197,-6.456175063049014,11.890021638047328,-9.109446966463892,13.111110545530341,-9.133816355557185,10.866314126834943,-7.0372220801304906,5.852539710849858,-6.593987496285075,5.970608785924318,-2.4702225474879005,10.765377335220876,6.2124092939023505,4.261976176224411,5.183082657285265,6.115419542713889,7.092180471568415,7.202493418507488,5.506497519729476,5.70953809536437,5.5645393591260195,6.30392313933291,5.797232906353985,6.29278293924007
Aunque Pase To' La Vida.wav,0.04072555741043354,0.09854042109420506,0.04862274243105515,0.03127288734004512,2.79723577225893,3.675321695445992,750,0.09700270422249375,0.24731811073191023,0.05053731748255127,0.032819608019168105,0.024898467437059358,0.014316947465617189,112.5,6.8138,1.4373,6.0355,0.1558,0.4143,Rap,-35.838117457544726,5.7079683763145095,-6.032078553544093,4.97297510453378,-7.67279179524755,4.0514381270371045,-12.527368800905096,-2.22405285998969,-5.941576889083611,-1.2628626679013997,-11.67806420434648,6.452209172085749,-2.541459700347209,14.50226819128896,5.374270429795442,5.289061360856254,5.362158009298465,5.12489374392187,5.96829211239318,5.657475327704783,5.43615072676764,6.502969497260303,6.43163847661607,7.107124794478369,6.367985925939118,5.924551229758306
Barrio Mio.wav,0.03532890157103231,0.08477635379754206,0.03839709041745379,0.04842475423666818,2.3728086486789555,3.6787631892939934,421.875,0.19535482659111117,0.08023389333353613,0.028202159142335887,0.01584518987701387,0.007784821057478796,0.005463610247191016,127.84,6.9982,1.3086,4.6556,0.0499,0.1232,Rap,-42.810901887969145,6.324058377657751,-2.5860402708350794,7.898793058974014,-2.7318856650442056,9.09259279471233,-3.1978214413775916,3.0550181866731045,-2.5694444328494908,0.10368158217501271,-8.252362177545653,3.5723141785352808,-6.819847811028316,12.68761165972329,6.88367806738792,5.571735164268197,6.229054049880742,7.08374480709752,6.71698196729093,5.437333693124579,5.155753223424639,5.2897946471921,5.373185075296985,6.074507341132091,5.340057369517374,6.191052926082627
"BEJO, KASE.O & IGNATIUS FARRAY - Invirtiendo en la pérdida.wav",0.062078682178912735,0.10269097855798327,0.03870186965218358,0.040788916912144875,2.2813616285732676,3.200548078740482,468.75,0.20154650899824447,0.06899460447721231,0.042353909546508084,0.020278749972478454,0.013254213084010107,0.012580199100481788,89.29,6.4804,1.4595,4.4889,0.1224,0.2191,Rap,-36.6417637039488,9.098939422287469,-7.751809364928944,11.277621030498652,-7.87955136137797,9.501463072655813,-7.884773790231573,6.472831236086929,-1.5398226443817382,2.361982081270932,-3.974069207179914,7.172656717185148,-2.983794969308452,11.737593887051366,6.085758760530366,5.168686055126284,6.218159534389367,6.057381705487194,5.921274284150621,6.535379682638901,5.84340069951807,5.918372245106427,5.570003309900099,5.91322038602903,6.39801806286391,6.0331355985350195
BLAKE - EL DIARIO DEL LOCO (PROD. KANDAS) #ELDIARIODELOCO.wav,0.030104123252038227,0.06331121269128712,0.06415284568655777,0.06795624490096587,3.4842126645802955,4.161657780562042,656.25,0.227679143273313,0.06489499591244824,0.031799132077638445,0.04649073376360473,0.018184205930514067,0.03765811993426755,112.5,6.8138,1.5678,5.7333,0.1181,0.4057,Rap,-37.84877693682551,2.977539643617513,-4.896041162662535,8.806428573695817,-7.52478501346658,11.337180379448393,-8.293047014719109,6.50883298510512,-3.0808862210453856,2.3837781691072903,-4.379980634070053,5.094407842280851,-3.0448742326796836,11.968759569754075,5.9307968301289655,6.829438016516685,6.659350016546369,6.26492359615225,6.12906894515227,6.2361847382359406,6.151991764801378,5.652268747101456,5.800344996274615,5.674074877463469,5.747301227401033,6.2112237436004065
