Song_Name,AVG_Energy,SD_Energy,ZCR_mean,ZCR_sd,Centroid,BW,RollOff,BER_subbass,BER_bass,BER_low_mid,BER_mid,BER_high_mid,BER_treble,Tempo_bpm,TempoLog,Fuerza_Pulso,onset_rate,high_onset_mean,offbeat_ratio,Genero,MFCC_1_mean,MFCC_2_mean,MFCC_3_mean,MFCC_4_mean,MFCC_5_mean,MFCC_6_mean,MFCC_7_mean,MFCC_8_mean,MFCC_9_mean,MFCC_10_mean,MFCC_11_mean,MFCC_12_mean,MFCC_13_mean,MFCC_1_sd,MFCC_2_sd,MFCC_3_sd,MFCC_4_sd,MFCC_5_sd,MFCC_6_sd,MFCC_7_sd,MFCC_8_sd,MFCC_9_sd,MFCC_10_sd,MFCC_11_sd,MFCC_12_sd,MFCC_13_sd
Alborosie - Come My Way ｜ Official Music Video [fisbNNnKURY].wav,0.08886431663946065,0.14901036361302805,0.062060830833055525,0.04377947529452394,2.7078918244788976,2.8933762129422127,1453.125,0.1098566663517105,0.09509575917984003,0.048841194832209396,0.07494463172345724,0.033488459879707305,0.029188121300589006,133.93,7.0653,1.1569,4.2556,0.3974,0.4774,Reggae,-31.818713267211862,12.62639874089702,-21.857147282803325,18.543132043490985,-16.244175869357125,11.21586769874525,-1.2546713326332226,-0.5351890157279846,2.59446220255195,-8.377644950750808,9.071266647704112,-5.403818758471138,3.6150777507914627,8.46159432295371,4.823388912646721,4.845168191228236,5.379958866685979,5.762066657167181,5.010162402446187,5.722161046575644,6.049476145971928,6.554392582928591,7.558232286978811,5.982898519496068,6.756571067981213,5.7797846992927875
Alpha Blondy - Masada (Official Video) [PkA14zFzia8].wav,0.04358263872322596,0.08585347703998636,0.07766210134459385,0.06667503380832301,3.999490219146584,4.6799530964146605,984.375,0.252886348037402,0.056902170556210795,0.05430872077708564,0.0409287154661363,0.04672928149841767,0.035897338147247077,140.62,7.1357,1.4684,4.9,0.2688,0.0866,Reggae,-33.11168471402892,1.7562743997543726,-7.016865819809769,8.787641156656855,-2.561519665790331,8.627829986103809,-5.337260663402,6.9721393636933975,-5.693679123545364,6.195032066892699,-4.85289916325432,5.517331829785202,-3.9657518810898202,17.686283286288717,6.974566158198392,7.578508994283986,6.293820516656469,8.253671207044734,5.9575207620422,6.0709054114861765,5.805726863421409,6.711769781713405,5.67211541717348,5.629861707721913,5.2005790019685945,5.157254186925595
Alpha Blondy feat. Capleton - Cold Fire (Official Video) [W2u177ive-8].wav,0.09021309158201836,0.16726598916601634,0.0520979182872171,0.04121693857572816,2.975433146884137,3.91259313925499,937.5,0.18823738781350363,0.07198178532442279,0.07041194199540883,0.05286289839392994,0.013069319518597463,0.017066225770060076,90.73,6.5034,1.2718,5.1111,0.2116,0.6588,Reggae,-31.27920983165383,6.67398098020247,-8.088599184730692,4.44467108122751,-5.046430006991274,5.4884480960011,-3.7671473545594445,4.788476554630163,-4.971102250978871,1.0830818760823757,-3.2562646404196616,2.869130349428419,-3.3175792978083116,14.988835994515616,5.614011253509025,5.683489558622104,4.5525819469827615,7.830717469986715,7.168724181125737,5.248484852173554,5.191603962442618,5.840210654314126,4.799658897706853,5.202653046089572,6.015380278620209,6.135664052775279
Binghi - Rastafari Love [Official Video 2025] [PsbImVF1ee4].wav,0.03853444471245731,0.07976337927910461,0.04340042412119865,0.04912233926401614,2.8066856810336867,4.0701042130387615,609.375,0.16734138929232548,0.07797768681855827,0.0774241271044425,0.03130511946963635,0.016004851677189732,0.010409878674224637,119.68,6.903,1.2079,4.4222,0.1061,0.1175,Reggae,-46.2344694478357,6.654396294372815,-6.6062054204119764,6.675644511755578,-3.962617949427048,8.182136361973887,-5.7322421205912955,4.165183934669299,-2.2721651919517925,4.238886933865291,-4.2594105449273885,4.325107764737589,-1.8099900266636544,27.968022217913262,7.203001397916571,8.080901909774239,6.43823989993849,6.634964938583812,6.481704885787453,6.391348056915366,6.042237871967864,6.371266615935084,7.097992641221651,7.101044051812481,5.964583604508104,6.135448181276541
Bob Marley & The Wailers - Punky Reggae Party (Visualizer) [SBAiWBJHwOU].wav,0.05749673043628081,0.11834060127923195,0.04549938419083602,0.03989970493599447,3.1500145516543223,4.0905755034039535,609.375,0.20586765633985224,0.05057539594200899,0.05488381300190748,0.0410371351827589,0.019747002022654392,0.021840344783752293,133.93,7.0653,1.4456,5.0111,0.1872,0.3521,Reggae,-33.67174799386661,4.799849972371852,-6.95211904371842,5.853939003193915,-3.9425062301026403,7.7094707907759945,-1.8117501352081444,4.995628367911723,-1.6921892464856632,4.06915015188604,-0.629750136552543,5.434376941328052,-1.0396524469040305,12.685565528850843,5.172902398422662,6.252324271235448,4.587811358157397,4.9484758665869215,5.212103020540479,5.209234182204128,5.0680478675076746,5.866255397039213,4.382621292700585,5.46216663755215,5.569717264527871,5.107958696355738
Busy Signal - Lady In Red (Visualizer) [fcwUPNJnZ1E].wav,0.0766098486895854,0.13073578380414427,0.04306740100751935,0.05248291827373597,2.619698917824361,4.007557998121315,562.5,0.06762223802570486,0.08950587817821325,0.0623110264236218,0.026155931970389994,0.009450971348150958,0.00836160425315132,156.25,7.2877,1.2651,3.9444,0.1612,0.14,Reggae,-37.50787932558121,6.797532099376215,-3.899396588867022,4.543575747299686,-6.51504517535339,5.111339327764296,-7.996975763369093,4.637451160574007,-7.135812350675807,6.244886728894198,-5.2189999818459345,6.404518476873842,-4.548195338390859,16.502152099019206,6.458638757669966,6.206643587995205,4.894381497486014,5.443692388952859,5.065791445382318,5.191648218070614,5.651954796787256,5.500571943301525,5.7936024876585686,5.723317021753629,5.662935365263508,5.521360293130334
Busy Signal - Your Smile ｜ Official Music Video [RDNNARn1Bt0].wav,0.0745168996891977,0.1682852447651616,0.0399887024484202,0.045399028904316,2.2328426185322843,3.456655726724858,562.5,0.1526770698576905,0.07073174659161509,0.07048812859725759,0.015184314276880098,0.0048486484291983085,0.006274236995204882,119.68,6.903,1.2175,4.5778,0.0692,0.1553,Reggae,-41.4093981432254,10.070985196658082,-7.454374660539738,6.854150338746819,-10.674727252523915,10.121782363732615,-8.260650440771187,6.498175783627497,-5.078082393555153,6.766072444072614,-2.6705647382480984,4.013491003148765,-3.086743954857987,17.787997996448375,7.4183609604591725,6.422948440802353,7.676937567979332,7.771685326358137,7.05542920195171,7.035893902284375,5.486973319297086,6.20211297428567,5.419920250269699,7.05679153833643,6.226810625414599,6.308345865826765
Busy Signal & Zion I Kings - The Days [N6AFIkfckn8].wav,0.10597397799154273,0.1709240192439593,0.06692097733081454,0.07217782174927324,3.6088782625012,4.572265686847431,656.25,0.1149364592367563,0.053893201779362195,0.06469536953417336,0.04712458113912463,0.010635720016157915,0.028660874533619384,83.96,6.3915,1.5088,5.3333,0.4109,0.9045,Reggae,-27.934852400875556,4.524111047733134,-7.2303418754892395,6.40207079218614,-7.504992555453892,10.726034779294928,-6.951360469341343,3.6124515724172057,-5.085861380283202,7.070306952508849,-3.693427388194109,3.997584028160662,-1.9953468988580476,10.929503119573278,7.654039450679903,6.529674517925765,6.518116994471902,6.010045128484837,6.7758349333828125,5.240458259038174,5.575774379119229,5.433102781656738,5.825524946947414,5.039466674055941,4.770088855571345,5.111443233373844
Christopher Martin - Wife and Sweetheart ｜ Official Music Video [8193qFa1yfs].wav,0.07316527511317351,0.1298621023182847,0.07089572452494722,0.07161057504198767,3.773957885396576,4.420688665387927,562.5,0.18777352160050004,0.0642343073887476,0.027958973203415272,0.021962156621153722,0.026021988251564807,0.03754300907074783,80.36,6.3284,1.3084,5.3,0.2831,0.2821,Reggae,-34.367175325012425,4.352445276000078,-8.603716273957568,12.382972038845239,-8.584711939842704,13.19046193696649,-10.342975383923063,7.706809672951181,-4.03541849858431,4.554756159061957,-4.463089290031031,7.905028365336252,-4.190199241877381,28.535870696556465,6.784105793830816,5.852105661343711,6.028472739063143,7.553411584806847,6.209935270112643,6.65848091369993,6.072570789826041,6.179810276325891,6.363857864284413,6.191927651098205,6.233753033416863,6.529378256277901
Collie Buddz x Busy Signal - _Spark Up_ (Official Music Video) [sZc7yrDC4EY].wav,0.03943549153092732,0.06345958382907056,0.047629134718672445,0.05795066523162583,3.3724777792385257,4.577762235021059,234.375,0.12278265095207978,0.029539504390724978,0.018747432757803658,0.006011051105921166,0.006699408168892303,0.01509746468537174,86.54,6.4353,1.2902,4.6444,0.0479,0.5429,Reggae,-42.875686976120704,4.900200011926693,-3.3661483133374466,9.900509071912929,-7.6799204932883525,12.033673238307705,-10.132414201413928,8.471012284969337,-5.851270896361838,8.267019336597231,-6.267813576272327,5.674800130082832,-2.357896121435161,17.47246479181826,6.817762172392689,6.169221164988136,7.38813407990606,7.107981446622149,7.368466544002727,6.374614478479707,6.857741883214188,6.607808088388206,5.671738151296563,6.388042275051217,5.868430151222428,5.905994791632717
